Title,Type,CriticScore,ReleaseYear,Director,ReleaseDate,Genre,Cast,Rating,Runtime,Summary,NumOfCriticReviews
The Godfather,Movie,Bad,1972,Francis Ford Coppola,"March 24, 1972",Crime,"['Al Pacino', 'Marlon Brando']",R,175 min,"Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are engaged. Based on Mario Puzo's best-selling novel and featuring career-making performances by Al Pacino, James Caan and Robert Duvall, this searing and brilliant film garnered ten Academy Award nominations, and won three including Best Picture of 1972. [Paramount Pictures]",16
The Shawshank Redemption,Movie,Good,1994,Frank Darabont,"September 1, 1994",Crime,"['Morgan Freeman', 'Tim Robbins']",R,142 min,"Wrongly convicted, Andy Dufresne (Tim Robbins) is sentenced to two consecutive life terms in in Maine's Shawshank prison for the murders of his wife and her lover.  Set in the 1940's, the film shows how Andy learns to get by in the brutal confines of prison, even earning the respect of his fellow inmates, most notably the longtime convict ""Red"" Redding (Morgan Freeman).",21
The Dark Knight,Movie,Good,2008,Christopher Nolan,"July 18, 2008",Crime,"['Aaron Eckhart', 'Christian Bale', 'Heath Ledger']",PG-13,152 min,"Batman raises the stakes in his war on crime. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent Batman sets out to dismantle the remaining criminal organizations that plague the city streets. The partnership proves to be effective, but they soon find themselves prey to reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker. (Warner Bros.)",39
The Lord of the Rings: The Fellowship of the Ring,Movie,Excellent,2001,Peter Jackson,"December 19, 2001",Fantasy,"['Andy Serkis', 'Elijah Wood']",PG-13,178 min,,34
Pulp Fiction,Movie,Excellent,1994,Quentin Tarantino,"October 14, 1994",Crime,"['Bruce Willis', 'John Travolta', 'Samuel L. Jackson']",R,154 min,,24
Star Wars: Episode IV - A New Hope,Movie,Excellent,1977,George Lucas,"May 25, 1977",Fantasy,"['Carrie Fisher', 'Harrison Ford', 'Mark Hamill']",PG,121 min,"A long time ago in a galaxy far, far away... Princess Leia (Carrie Fisher) is held hostage by the evil Imperial forces in their effort to quell the rebellion against the Galactic Empire. Luke Skywalker (Mark Hamill) and Captain Han Solo (Harrison Ford) team together with the lovable droid duo, R2-D2 and C-3PO, to rescue the beautiful princess and restore justice in the galaxy. [20th Century Fox]",24
Forrest Gump,Movie,Good,1994,Robert Zemeckis,"July 6, 1994",Romance,"['Gary Sinise', 'Robin Wright', 'Sally Field', 'Tom Hanks']",PG-13,142 min,,20
Inception,Movie,Good,2010,Christopher Nolan,"July 16, 2010",Thriller,"['Elliot Page', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Leonardo DiCaprio']",PG-13,148 min,"Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible—inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming. This summer, your mind is the scene of the crime. [Warner Bros. Pictures]",42
The Lord of the Rings: The Return of the King,Movie,Excellent,2003,Peter Jackson,"December 17, 2003",Fantasy,"['Andy Serkis', 'Orlando Bloom']",PG-13,201 min,"Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men.  The once-great kingdom, watched over by a fading steward, has never been in more desperate need of its king. But can Aragorn (Viggo Mortensen) answer the call of his heritage and become what he was born to be?  In no small measure, the fate of Middle-earth rests on his broad shoulders.  [New Line Cinema]",41
The Matrix,Movie,Good,1999,Andy Wachowski/Lana Wachowski,"March 31, 1999",Thriller,"['Carrie-Anne Moss', 'Keanu Reeves', 'Laurence Fishburne']",R,136 min,,35
Titanic,Movie,Good,1997,James Cameron,"December 19, 1997",Romance,"['Kate Winslet', 'Leonardo DiCaprio']",PG-13,194 min,,35
The Silence of the Lambs,Movie,Good,1991,Jonathan Demme,"February 13, 1991",Crime,"['Anthony Hopkins', 'Jodie Foster']",R,118 min,,20
The Lion King,Movie,Good,1994,Rob Minkoff/Roger Allers,"June 15, 1994",Musical,"['James Earl Jones', 'Jeremy Irons', 'Matthew Broderick', 'Whoopi Goldberg']",G,89 min,,30
Goodfellas,Movie,Excellent,1990,Martin Scorsese,"September 1, 1990",Crime,"['Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Ray Liotta', 'Robert De Niro']",R,146 min,,21
Fight Club,Movie,Mediocre,1999,David Fincher,"October 15, 1999",Crime,"['Brad Pitt', 'Edward Norton']",TV-MA,139 min,,35
The Departed,Movie,Good,2006,Martin Scorsese,"October 6, 2006",Crime,"['Jack Nicholson', 'Leonardo DiCaprio', 'Matt Damon']",R,151 min,"This gritty crime drama from director Martin Scorsese takes us into the lives of two cops: Colin Sullivan (Matt Damon), smart and unabashedly ambitious, appears to be on the fast track in the Massachusetts State Police Department's elite Special Investigations Unit, whose prime target is powerful Irish mob boss Frank Costello (Jack Nicholson). Billy Costigan (Leonardo DiCaprio), street-smart and tough, is purported to have a violent temper that costs him his badge and eventually lands him back on the rough streets of South Boston, where he is recruited into Costello's ranks. But neither man is what he seems and, as they work at cross purposes, they are plunged into a dangerous game of cat and mouse in which the stakes could not be higher.  [Warner Bros.]",39
The Avengers,Movie,Mediocre,2012,Joss Whedon,"May 4, 2012",Thriller,"['Chris Evans', 'Jeremy Renner', 'Robert Downey Jr.', 'Scarlett Johansson']",PG-13,143 min,"Continuing the epic big-screen adventures started in Iron Man, The Incredible Hulk, Iron Man 2, Thor and Captain America: The First Avenger, Marvel's The Avengers is the superhero team up of a lifetime. When an unexpected enemy emerges that threatens global safety and security, Nick Fury, Director of the international peacekeeping agency known as SHIELD, finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins. (Walt Disney Studios Motion Pictures)",43
